scientific_name,korean_name
Gelidium tenue,엷은우뭇가사리
Gelidium vagum,막우뭇가사리
Pterocladiella capillacea,개우무
Pterocladiella caerulescens,검정개우무
Pterocladiella nana,작은개우무
Pterocladiella tenuis,큰개우무
Caulacanthus ustulatus,애기가시덤불
Hypnea asiatica,가시우무
Hypnea cornuta,뿔가시우무
Hypnea japonica,갈고리가시우무
Hypnea pannosa,덩어리가시우무
Hypnea cervicornis,노루뿔가시우무
Hypnea spinella,잔디가시우무
Hypnea variabilis,통통가시우무
Dudresnaya japonica,자주비로드
Dudresnaya kuroshioensis,좀진자주비로드
Dumontia simplex,미끌풀
Hyalosiphonia caespitosa,붉은유리관
Masudaphycus irregularis,팔로와
Pikea californica,홍실싸리가지
Gloiopeltis complanata,애기풀가사리
Gloiopeltis furcata,불등풀가사리
Gloiopeltis tenax,참풀가사리
Halarachnion latissimum,매끈곱단이
Opuntiella californica,원반붉은잎
Turnerella mertensiana,양가죽도박
Chondracanthus intermedius,애기돌가사리
Chondracanthus tenellus,돌가사리
Chondrus armatus,가시깃꼴진두발
Chondrus crispus,주름진두발
Chondrus elatus,넓은진두발
Chondrus giganteus,왕진두발
Chondrus nipponicus,가락진두발
Chondrus ocellatus,진두발
Chondrus pinnulatus,깃꼴진두발
Chondrus verrucosus,애기진두발
Chondrus yendoi,먹도박
Mazzaella japonica,붉은은행초
Gloiosiphonia capillaris,실풀
Gloeophycus koreanus,분홍염주마디풀
Callophyllis adhaerens,좁은붉은잎
Callophyllis adnata,넓은붉은잎
Callophyllis crispata,주름붉은잎
Callophyllis japonica,볏붉은잎
Callophyllis palmata,팔손이붉은잎
Callophyllis rhynchocarpa,부리붉은잎
Kallymenia callophylloides,봉숭아붉은땀띠
Kallymenia crassiuscula,붉은땀띠
Kallymenia oligonema,귀자루땀띠
Kallymenia sessilis,민자루땀띠
Phacelocarpus japonicus,꿩꼬리풀
Mastocarpus pacificus,넓은혹돌가사리
Stenogramma interrupta,가는줄풀
Portieria hornemannii,가는잎송진내
Portieria japonica,왜잎송진내
Agardhiella subulata,미끌바늘
Meristotheca papulosa,갈래곰보
Meristotheca coacta,작은갈래곰보
Solieria pacifica,굵은끈적살
Solieria tenuis,가는끈적살
Tichocarpus crinitus,마른나무
Gracilaria arcuata,활꼬시래기
Gracilaria corticata,덮꼬시래기
Gracilaria cuneifolia,쐐기꼴꼬시래기
Gracilaria gigas,큰꼬시래기
Gracilaria incurvata,꼬불꼬시래기
Gracilaria parvispora,각시꼬시래기
Gracilaria textorii,잎꼬시래기
