보3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(3)  NO. 8,20,0.3119498622299659,4.1119972644735014,4.1119972644735014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1119972644735014,0.058671320811996,1.2338785777797057,1.2338785777797057,0,0,0,0,0,0,1.2338785777797057,,,,,0,0,0,0,0,0,0,0,0,0
(3)  NO. 8+9.00,9,0.289784612036847,2.707805134200658,2.707805134200658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.707805134200658,0.08594536589919244,0.650775090200348,0.650775090200348,0,0,0,0,0,0,0.650775090200348,,,,,0,0,0,0,0,0,0,0,0,0
(3)  소계,29,0.6017344742668129,6.81980239867416,6.81980239867416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81980239867416,0.14461668671118844,1.8846536679800536,1.8846536679800536,0,0,0,0,0,0,1.8846536679800536,1.8846536679800536,1.8846536679800536,0,4.935148730694106,0,0,0,0,0,0,0,0,0,0
(3)  총계,169,1.0194058385938534,11.790559658375443,11.790559658375443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.790559658375443,8.96716611766589,78.55973077237445,78.55973077237445,0,0,0,0,0,0,78.55973077237445,6.855410927681339,6.855410927681339,71.7043198446931,4.935148730694106,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),169,0.03723031685058231,0.26355959805190626,0.26355959805190626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26355959805190626,4.679134865335641,33.12437305564412,33.12437305564412,0,0,0,0,0,0,33.12437305564412,0.26355959805190626,0.26355959805190626,32.860813457592215,0,0,0,0,0,0,0,0,0,0,0
(2),169,42.753739049045876,242.56700873985466,242.56700873985466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.56700873985466,65.69676703934185,846.1706903351948,846.1706903351948,0,0,0,0,0,0,846.1706903351948,54.981641511676564,54.981641511676564,791.1890488235183,187.5853672281781,0,0,0,0,0,0,0,0,0,0
(3),169,1.0194058385938534,11.790559658375443,11.790559658375443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.790559658375443,8.96716611766589,78.55973077237445,78.55973077237445,0,0,0,0,0,0,78.55973077237445,6.855410927681339,6.855410927681339,71.7043198446931,4.935148730694106,0,0,0,0,0,0,0,0,0,0
총계,507,43.81037520449031,254.62112799628198,254.62112799628198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.62112799628198,79.34306802234337,957.8547941632133,957.8547941632133,0,0,0,0,0,0,957.8547941632133,62.10061203740981,62.10061203740981,895.7541821258037,192.52051595887218,0,0,0,0,0,0,0,0,0,0
