□ 2023년말 보호수 지정 세부현황,,,,,,,,,,,,,,,,,,,,,,,
,,,보호수 본수,13870,,,,,,,,,,,,,,,,,,,
,,,보호수 수종 개수,153.99999999997078,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.지정정보,,,,,2.명칭정보,,,3.위치정보,,,,4.관리정보,5.개체정보,,,,,,,,,,
지정기관,지정번호,지정본수,지정유형,세부지정유형,대분류,수종명(국명),수종명(학명),시군구명,세부 주소,지목유형,생육지형,지정일,지정일기준수령(년),2023년기준수령(년),수고(cm),흉고직경(cm),흉고둘레(cm),,,,,,
서울특별시,서1-30,1,노거목,풍치목,향나무,향나무,Juniperus chinensis,종로구,사직동 1-28,대,도로,2000.12.20,230,253,1120,60,180,,,,,,
서울특별시,서1-31,1,노거목,풍치목,소나무,소나무,Pinus densiflora,종로구,소격동 165,대,평지,2007.11.29,100,116,450,60,190,,,,,,
서울특별시,서2-1,1,노거목,정자목,회화나무,회화나무,Sophora japonica ,중구,정동 34-16,대,평탄지,1972.10.12,825,876,2000,230,710,,,,,,
서울특별시,서2-2,1,노거목,보목,향나무,향나무,Juniperus chinensis ,중구,정동 34-5,대,평탄지,1972.10.12,525,576,1650,70,230,,,,,,
서울특별시,서2-3,1,노거목,정자목,회화나무,회화나무,Sophora japonica ,중구,정동 16-1,도로,평탄지,1976.11.17,520,567,1700,160,520,,,,,,
서울특별시,서2-4,1,노거목,정자목,은행나무,은행나무,Ginkgo biloba,중구,회현동 1가 203,대,평탄지,1972.10.12,475,526,2250,260,820,,,,,,
서울특별시,서2-5,1,노거목,정자목,은행나무,은행나무,Ginkgo biloba,중구,회현동 1가 36-7,도로,평탄지,1972.10.12,475,526,2400,230,730,,,,,,
서울특별시,서2-6,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino ,중구,예장동 2-1,대,평탄지,1996.08.16,450,477,2300,200,640,,,,,,
서울특별시,서2-7,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba,중구,예장동 2-1,대,평탄지,1996.08.16,400,427,2150,190,590,,,,,,
서울특별시,서2-8,1,노거목,보목,기타,모감주나무,Koelreuteria paniculata Laxm.,중구,남대문로 5가 467,공원,경사지,1972.10.12,80,131,919.9999999999999,30,100,,,,,,
서울특별시,서2-9,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino ,중구,남대문로 5가 467,공원,평탄지,1972.10.12,225,276,1900,70,210,,,,,,
서울특별시,서2-10,1,노거목,풍치목,회화나무,회화나무,Sophora japonica ,중구,황학동 1163,도로,평탄지,1981.10.27,165,207,1300,100,310,,,,,,
