행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수
여울벌레류(유충),0,,칠성말배꼽,0,,큰제비갈매기,0,,,,,,
털콩게,0,,야레,0,,쇠찌르레기,0,,,,,,
얼룩날개모기류,0,,치리,0,,홍비둘기,0,,,,,,
테물방개,0,,브라운송어,0,,쇠청다리도요,0,,,,,,
Simulium 3,0,,초어,0,,흰머리오목눈이,0,,,,,,
토우민강도래,0,,쉬쉬망둑,0,,쇠칼새,0,,,,,,
깔따구류 3,0,,청가시고기,0,,큰까마귀,0,,,,,,
톱니깃털이끼벌레,0,,왜미끈망둑,0,,쇠홍방울새,0,,,,,,
깔따구류 7,0,,철갑상어,0,,큰부리제비갈매기,0,,,,,,
톱등큰꼬마새우,0,,점밀어,0,,쇠황조롱이,0,,,,,,
깔따구류 C,0,,참중고기,0,,푸른날개팔색조,0,,,,,,
톱물땡땡이,0,,청멸,0,,쇠흰턱딱새,0,,,,,,
깃깔따구류 2,0,,참종개,0,,호반새,0,,,,,,
통날도래 KUa,0,,풀비늘망둑,0,,수리갈매기,0,,,,,,
줄날도래류,0,,참붕어,0,,회색기러기,0,,,,,,
투구갯지렁이류,0,,황쏘가리,0,,수리부엉이,0,,,,,,
띠구슬다슬기 (=띠구슬알다슬기),0,,참몰개,0,,흰눈썹울새,0,,,,,,
팔각따개비,0,,산천어,0,,수염수리,0,,,,,,
옛하루살이 (=날개하루살이),0,,참마자,0,,흰죽지꼬마물떼새,0,,,,,,
팔손이불가사리,0,,떡붕어,0,,수염오목눈이,0,,,,,,
길쭉하루살이 (=꼬마하루살이 KUa),0,,참둑중개,0,,큰검은머리갈매기,0,,,,,,
펄닭새우,0,,둑중개,0,,숲새,0,,,,,,
"연못하루살이 (=두날개하루살이, 외날개꼬마하루살이)",0,,참갈겨니,0,,큰덤불해오라기,0,,,,,,
펄조개,0,,두만가시고기,0,,스윈호오목눈이,0,,,,,,
"아지랑이하루살이 (=봄처녀하루살이 KUa, 봄총각하루살이, 센꼬리하루살이 KUa)",0,,찬넬동자개,0,,쇠밭종다리,0,,,,,,
펄콩게,0,,동버들개,0,,슴새,0,,,,,,
두점하루살이 (=개꼬리하루살이),0,,짱뚱어,0,,큰왕눈물떼새,0,,,,,,
펄털콩게,0,,돌고기,0,,시베리아알락할미새,0,,,,,,
"햇님하루살이 (=햇살하루살이, 납작하루살이, 참꼬리하루살이)",0,,중고기,0,,털발말똥가리,0,,,,,,
포도고둥,0,,대황어,0,,시베리아흰두루미,0,,,,,,
골짜기하루살이 (=산골하루살이),0,,줄종개,0,,풀밭종다리,0,,,,,,
표범하루살이,0,,대농갱이,0,,쏙독새,0,,,,,,
금빛하루살이 (=강하루살이붙이),0,,줄몰개,0,,해변종다리,0,,,,,,
풀게,0,,누치,0,,쇠물닭,0,,,,,,
알통하루살이 (=알통알락하루살이),0,,줄망둑,0,,혹고니,0,,,,,,
풀색꽃해변말미잘,0,,납자루,0,,아메리카메추라기도요,0,,,,,,
칠성하루살이 (=이마니시알락하루살이),0,,줄납자루,0,,황새,0,,,,,,
풍년새우,0,,날개망둑,0,,아메리카홍머리오리,0,,,,,,
방패하루살이 (=큰등딱지하루살이 KUa),0,,줄공치,0,,회색바람까마귀,0,,,,,,
플라나리아,0,,꾸구리,0,,아물쇠딱다구리,0,,,,,,
왕실잠자리 (=청동실잠자리),0,,주둥치,0,,흰눈썹물떼새,0,,,,,,
플라나리아류,0,,꺽정이,0,,아비,0,,,,,,
측범잠자리류 (=부채장수잠자리류),0,,종어,0,,흰매,0,,,,,,
플로리다참갯지렁이,0,,기름종개,0,,알락개구리매,0,,,,,,
잘록허리왕잠자리,0,,종개,0,,쇠뜸부기사촌,0,,,,,,
피뿔고둥,0,,곱사연어,0,,알락꼬리마도요,0,,,,,,
애강도래 (=흰배민강도래 KUa),0,,좀수수치,0,,흰줄박이오리,0,,,,,,
피조개,0,,강준치,0,,알락꼬리쥐발귀,0,,,,,,
"뱀잠자리붙이 (=대륙뱀잠자리, 얼룩뱀잠자리)",0,,좀구굴치,0,,크낙새,0,,,,,,
하구별따개비,0,,갈문망둑,0,,알락도요,0,,,,,,
물삿갓벌레 (=넓은물삿갓벌레 KUa),0,,조피볼락,0,,큰군함조,0,,,,,,
하나잠자리,0,,가시고기,0,,알락뜸부기,0,,,,,,
깔따구류(비적색형),0,,제주모치망둑,0,,큰노랑발도요,0,,,,,,
하드윅분지성게,0,,구피,0,,알락쇠오리,0,,,,,,
멋쟁이각날도래 (=수염치레각날도래),0,,젓뱅어,0,,큰뒷부리도요,0,,,,,,
하코다디군부,0,,낙동납자루,0,,알락오리,0,,,,,,
두줄날도래 (=줄날도래 KD),0,,점줄종개,0,,큰밭종다리,0,,,,,,
한국강도래 ,0,,동방자가사리,0,,알락할미새,0,,,,,,
둥근얼굴날도래 (=둥근얼굴날도래 KUa),0,,점줄망둑,0,,큰부리밀화부리,0,,,,,,
한국부채발갯지렁이,0,,발기,0,,알락해오라기,0,,,,,,
수염치레날도래 (=바수염날도래),0,,점몰개,0,,큰소쩍새,0,,,,,,
한국새뱅이,0,,점망둑,0,,알바트로스,0,,,,,,
꼬마하루살이류 2,0,,점농어,0,,큰재갈매기,0,,,,,,
한국큰그물강도래,0,,두건망둑,0,,양비둘기,0,,,,,,
실잠자리류,0,,전어,0,,큰회색머리아비,0,,,,,,
한라하루살이,0,,비단망둑,0,,양진이,0,,,,,,
한국민날개강도래,0,,잔가시고기,0,,파랑새,0,,,,,,
한일넓적물땡땡이,0,,흰동갈망둑,0,,어치,0,,,,,,
물벌레류(노린재목),0,,자치,0,,푸른바다직박구리,0,,,,,,
한토막눈썹참갯지렁이,0,,흰줄망둑,0,,얼룩무늬납부리새,0,,,,,,
물진드기류,0,,자주복,0,,한국동박새,0,,,,,,
해변말미잘,0,,남방짱뚱어,0,,에위니아제비갈매기,0,,,,,,
알꽃벼룩 KUa,0,,자가사리,0,,할미새사촌,0,,,,,,
해변말미잘류,0,,박대 ,0,,연노랑눈썹솔새,0,,,,,,
알꽃벼룩류(유충),0,,잉어,0,,헨다손매,0,,,,,,
해조숨이옆새우류,0,,섬진자가사리,0,,연노랑솔새,0,,,,,,
여울벌레류1,0,,임실납자루,0,,호사북방오리,0,,,,,,
햇님불가사리류,0,,숨이망둑 ,0,,열대붉은해오라기,0,,,,,,
각다귀류 2,0,,은연어,0,,홍머리오리,0,,,,,,
햇살밤고둥,0,,동해날망둑,0,,염주비둘기,0,,,,,,
모기류,0,,은어,0,,황금새,0,,,,,,
호롱애기배말,0,,살공치,0,,옅은밭종다리,0,,,,,,
Simulium 2,0,,웅어,0,,황오리,0,,,,,,
호르바드깨알소금쟁이,0,,올꺽정이,0,,옅은재갈매기,0,,,,,,
Simulium 4,0,,용상어,0,,회색머리멧새,0,,,,,,
호리측범잠자리,0,,향어,0,,쇠검은머리쑥새,0,,,,,,
깔따구류 2,0,,왜몰개,0,,흰꼬리딱새,0,,,,,,
혹달걀얼굴갯지렁이,0,,모래무지,0,,쇠부리도요,0,,,,,,
깔따구류 4,0,,왜매치,0,,흰눈썹긴발톱할미새,0,,,,,,
혹부채발갯지렁이,0,,매리복,0,,올빼미,0,,,,,,
깔따구류 6,0,,왜꾹저구,0,,흰눈썹북방긴발톱할미새,0,,,,,,
혹외줄물방개,0,,떡납줄갱이,0,,왕눈물떼새,0,,,,,,
깔따구류 8,0,,왕종개,0,,흰눈썹황금새,0,,,,,,
혹진흙새우,0,,드렁허리,0,,왕새매,0,,,,,,
깔따구류 B,0,,열목어,0,,흰머리멧새,0,,,,,,
홀쭉유령얼굴개지렁이,0,,두줄망둑,0,,쇠가마우지,0,,,,,,
깔따구류 D,0,,열동갈문절,0,,흰목물떼새,0,,,,,,
홈발딱총새우,0,,두만강자그사니,0,,울새,0,,,,,,
깃깔따구류 1,0,,연준모치,0,,흰정수리북미멧새,0,,,,,,
홍다리얼룩새우,0,,됭경모치,0,,쇠부리슴새,0,,,,,,
깃깔따구류 3,0,,연어,0,,흰죽지수리,0,,,,,,
홍점갯지렁이,0,,동사리,0,,원앙사촌,0,,,,,,
등에류 2,0,,여울마자,0,,흰털발제비,0,,,,,,
홍점갯지렁이류,0,,동방종개,0,,유리딱새,0,,,,,,
네모집날도래류,0,,얼룩새코미꾸리,0,,콩새,0,,,,,,
홍합,0,,돌마자,0,,작은도요,0,,,,,,
염주알다슬기 (=염주다슬기),0,,얼룩동사리,0,,큰개개비,0,,,,,,
황금더덕갯지렁이,0,,돌가자미,0,,작은바다오리,0,,,,,,
주머니다슬기 (=주머니알다슬기),0,,어름치,0,,큰고니,0,,,,,,
황금비늘갯지렁이,0,,도다리,0,,작은뻐꾸기사촌,0,,,,,,
줄지렁이류 (=낚시지렁이류),0,,양태,0,,쇠뜸부기,0,,,,,,
황나각다귀 KUa,0,,대륙종개,0,,작은재갈매기,0,,,,,,
피라미하루살이 (=큰참날개하루살이),0,,애기망둑,0,,큰꺅도요,0,,,,,,
황나각다귀 KUb,0,,대두어,0,,작은칼새,0,,,,,,
"콩알하루살이 (=애하루살이, 헛날개꼬마하루살이)",0,,압록자그사니,0,,큰논병아리,0,,,,,,
황등색실잠자리,0,,다묵장어,0,,작은흰갈매기,0,,,,,,
애호랑하루살이 (=헛날개꼬마하루살이 na),0,,쏘가리,0,,큰도둑갈매기,0,,,,,,
황등에붙이,0,,눈동자개,0,,잣까마귀,0,,,,,,
감초하루살이 (=꼬마하루살이),0,,쌀미꾸리,0,,큰말똥가리,0,,,,,,
황해비단고둥,0,,농어,0,,장다리물떼새,0,,,,,,
빗자루하루살이  (=민날개하루살이),0,,싱어,0,,큰물떼새,0,,,,,,
황해소금쟁이,0,,납줄개,0,,재갈매기,0,,,,,,
"봄처녀하루살이 (=봄처녀하루살이 KUb, 센꼬리하루살이 KUb)",0,,실뱅어,0,,큰부리개개비,0,,,,,,
회색넙적거머리,0,,남방종개,0,,재두루미,0,,,,,,
"몽땅하루살이 (=참납작하루살이 KUa, 몽당하루살이, 몽똑하루살이, 꼬리하루살이 KUa)",0,,실고기,0,,큰부리도요,0,,,,,,
회오리고둥류,0,,날망둑,0,,재때까치,0,,,,,,
꼬리치레하루살이 (=참납작하루살이 KUa),0,,쉬리,0,,큰부리바다오리,0,,,,,,
흐린펄조개,0,,나일틸라피아,0,,쇠부엉이,0,,,,,,
네점하루살이 (=꼬리하루살이),0,,숭어,0,,큰사다새,0,,,,,,
흑비단고둥,0,,꾹저구,0,,잿빛쇠찌르레기,0,,,,,,
부채하루살이 (=흰꼬리하루살이),0,,수수미꾸리,0,,쇠유리새,0,,,,,,
흑빛자패,0,,꼬치동자개,0,,저어새,0,,,,,,
총채하루살이 (=등줄참꼬리하루살이),0,,송사리,0,,큰유리새,0,,,,,,
흑색반점기수우렁이,0,,꺽지,0,,적갈색흰죽지,0,,,,,,
"깊은골하루살이 (=산납작하루살이 na, 여린꼬리하루살이 na)",0,,서호납줄갱이,0,,큰점지빠귀,0,,,,,,
흑좁쌀무늬고둥,0,,꺽저기,0,,점무늬가슴쥐발귀,0,,,,,,
세갈래하루살이 (=세줄밤색하루살이),0,,새코미꾸리,0,,큰지느러미발도요,0,,,,,,
흰구슬고동,0,,긴몰개,0,,점박이멧새,0,,,,,,
강하루살이 (=장수하루살이),0,,새미,0,,큰흰죽지,0,,,,,,
흰기수우렁이,0,,금강모치,0,,제비,0,,,,,,
민하루살이 (=민알락하루살이),0,,살치,0,,파랑딱새,0,,,,,,
흰노랑구슬우렁이,0,,구굴무치,0,,제비갈매기,0,,,,,,
뿔하루살이 (=뿔알락하루살이),0,,살망둑,0,,팔색조,0,,,,,,
흰동굴우렁이,0,,검정망둑,0,,제비딱새,0,,,,,,
쌍혹하루살이 (=쌍혹알락하루살이),0,,사백어,0,,푸른눈테해오라기,0,,,,,,
흰따개비,0,,개구리꺽정이,0,,제비물떼새,0,,,,,,
긴꼬리하루살이 (=혹가슴알락하루살이),0,,사루기,0,,푸른얼굴얼가니새,0,,,,,,
흰배민강도래류,0,,강주걱양태,0,,조롱이,0,,,,,,
흰등하루살이 (=알락하루살이 nba),0,,빨갱이,0,,학도요,0,,,,,,
흰삿갓조개,0,,감돌고기,0,,좀도요,0,,,,,,
등줄하루살이 (=등줄빗살알락하루살이),0,,빙어,0,,한국뜸부기,0,,,,,,
흰삿갓조개류,0,,갈겨니,0,,쇠붉은뺨멧새,0,,,,,,
세뿔등딱지하루살이 (=세뿔등딱지하루살이 KUa),0,,비늘흰발망둑,0,,한국재갈매기,0,,,,,,
흰새우,0,,가시납지리,0,,종달도요,0,,,,,,
