순,목,,과,,학명,,출현,
230,,,배벌과,Scoliidae,황띠배벌,Scolia  oculata,1,
231,,,,,배벌,Megacampsomeris schulthe si,1,
232,,,맵시벌과,Ichneumonidae,줄뭉툭맵시벌,Metopius  (Ceratopius) citratus,1,
233,,,,,누런줄뭉툭맵시벌,Metopius  (Metopius) rufus subsp. browni,1,
234,,,,,두색맵시벌,Holcojoppa  bicolor,1,
235,,,꼬마꽃벌과,Halictidae,구리꼬마꽃벌,Seladonia  (Seladonia) aeraria,1,
236,,,구멍벌과,Sphecidae,나나니,Ammophila  infesta,1,
237,,,개미과,Formicidae,그물등개미,Pristomyrmex punctatus,1,
238,,,,,고동털개미,Lasius japonicus,1,
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
239,,,,,일본왕개미,Camponotus  japonicus,1,
240,,,,,곰개미,Formica japonica,1,
241,,,,,주름개미,Tetramorium tsushimae,1,
242,,,,,극동혹개미,Pheidole  fervida,1,
243,,,,,스미스개미,Nylanderia flavipes,1,
244,밑들이목,Mecoptera,밑들이과,Panorpidae,아무르밑들이,Panorpa  amurensis,1,
245,,,,,제주밑들이,Panorpa  apporoximata,1,○
246,,,,,참밑들이,Panorpa  coreana,1,○
247,파리목,Diptera,집파리과,Muscidae,집파리,Musca  domestica,1,
248,,,등에과,Tabanidae,왕소등에,Tabanus chrysurus,1,
249,,,재니등에과,Bombyliidae,검정날개재니등에,Ligyra tantalus,1,
250,,,,,빌로오드재니등에,Bombylius major,3,
251,,,,,스즈키나나니등에,Systropus suzuk i,1,
252,,,동애등에과,Stratiomyidae,동애등에,Ptecticus tenebrifer,1,
253,,,초록파리과,Rhiniidae,점박이초록파리,Stomorhina  obsoleta,1,
254,,,장다리파리과,Dolichopodidae,얼룩장다리파리,Condylostylus  nebulosus,2,○
255,,,각다귀과,Tipulidae,아이노각다귀,Tipula (Yamatotipula) aino,2,
256,,,,,잠자리각다귀,Tipula (Nippotipula) coqui le ti,1,
257,,,꽃등에과,Syrphidae,호리꽃등에,Episyrphus balteatus,6,○
258,,,,,끝검정알락꽃등에,A lobaccha apicalis,1,
259,,,,,별넓적꽃등에,Metasyrphus  coro lae,1,
260,,,,,꼬마꽃등에,Sphaerophoria  menthastri,1,○
261,,,,,꽃등에,Eristalis tenax,2,○
262,,,,,배짧은꽃등에,Eristalis cerealis,3,○
263,,,,,쟈바꽃등에,A lograpta  javana,1,
264,,,,,좀넓적꽃등에,Syrphus ribes i,2,○
265,,,,,수중다리꽃등에,Helophilus  virgatus,1,
266,,,파리매과,Asilidae,광대파리매,Neoitamus  angusticornis,1,
267,,,,,검정파리매,Trichomachimus  scute laris,1,
268,,,,,왕파리매,Cophinopoda  chinensis,3,
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
269,,,기생파리과,Tachinidae,표주박기생파리,Cylindromyia bra sicaria,2,
270,,,,,풍뎅이기생파리,Dexia flavipes,1,
271,,,,,등줄기생파리,Tachina nupta,1,
272,,,알락파리과,Platystomatidae,알린콩알락파리,Rive lia alini,1,
273,,,검정파리과,Calliphoridae,금파리,Lucilia caesar,4,
274,,,,,점박이꽃검정파리,Stomorhina  obsoleta,5,
275,,,,,검정뺨금파리,Chrysomya  megacephala,1,
276,,,큰날개파리과,Lauxaniidae,검정큰날개파리,Mine tia longipennis,1,
277,,,쉬파리과,Sarcophagidae,검정볼기쉬파리,Sarcophaga  melanura,2,
278,,,똥파리과,Scathophagidae,똥파리,Scathophaga  stercoraria,1,
279,날도래목,Trichoptera,날도래과,Molannidae,날개날도래,Molanna  moesta,2,
280,나비목,Lepidoptera,박쥐나방과,Hepialidae,박쥐나방,Endoclyta  excrscenes,1,
281,,,포충나방과,Crambidae,얼룩애기들명나방,Nacoleia  commixta,2,○
282,,,,,줄검은들명나방,Tyspanodes  hypsalis,2,○
283,,,,,외줄들명나방,Bradina geminalis,1,○
284,,,,,세줄꼬마들명나방,Omiodes  poenonalis,1,
285,,,,,애기흰들명나방,Palpita inusitata,2,
286,,,,,세점노랑들명나방,Mabra  charonialis,1,○
287,,,,,검은줄포충나방,Flavocrambus striate lus,1,
288,,,,,긴줄포충나방,Crambus virgate lus,1,
289,,,,,흰띠포충나방,Crambus argyrophorus,1,
290,,,,,수수꽃다리명나방,Palpita nigropunctalis,1,○
291,,,,,포도들명나방,Herpetogramma  luctuosalis,1,○
292,,,,,흰빛그늘긴날개명나방,Scirpophaga  praelata,1,
293,,,,,점애기들명나방,Diasemia accalis,2,
294,,,,,흰띠명나방,Spoladea  recurvalis,1,○
295,,,,,목화바둑명나방,Diaphania indica,1,
296,,,,,연보라들명나방,Agrotera nemoralis,,○
297,,,,,검은빛포충나방,Chrysoteuchia porcelane la,,○
298,,,,,몸노랑들명나방,Pleuroptya chlorophanta,,○
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
299,,,,,앞노랑무늬들명나방,Herpetogramma rudis,,○
300,,,,,말굽무늬들명나방,Eu rhyparodes contortalis,,○
301,,,,,닥나무들명나방,Glyphodes pryeri,,○
302,,,,,깃검은들명나방,Sy lepte fuscomarginalis,,○
303,,,,,노랑무늬들명나방,Goniorhynchus exemplaris,,○
304,,,,,큰조명나방,Ostrinia zealis bipatrialis,,○
305,,,,,몸긴네줄들명나방,Pagyda quadrilineata,,○
306,,,,,흰무늬들명나방,Uresiphita tricolor,,○
307,,,명나방과,Pyralidae,큰홍색뾰족명나방,Endotricha  consocia,1,○
308,,,,,검은점뾰족명나방,Endotricha  olivacealis,1,○
309,,,,,밑검은집명나방,Orthaga  onerata,1,
310,,,,,흰무늬집명나방,Salma amica,1,
311,,,,,쌍줄비단명나방,Tamraca to ridalis,1,
312,,,,,날개검은부채명나방,Eulophopalpia  pauperalis,1,
313,,,,,앞붉은명나방,Oncocera  semirube la,2,
314,,,,,노랑꼬리뾰족명나방,Endotricha  flavofascialis,1,
315,,,,,은무늬줄명나방,Pyralis regalis,1,
316,,,,,흰날개큰집명나방,Teliphisa albifusa,,○
317,,,,,콩명나방,Maruca testulalis,,○
318,,,,,쥐빛비단명나방,Herculia pelasgalis,,○
